ref,piece,max,min,geo_point_2d,surface,price_per_m2
23.4,4,28.1,16.4,"48.82752745777257, 2.3723977369189355",40.0,17.549999999999997
30.8,1,37.0,21.6,"48.876008290020586, 2.36812301788768",10.0,92.4
22.6,4,27.1,15.8,"48.85706404083103, 2.380364061726767",40.0,16.950000000000003
34.0,3,40.8,23.8,"48.85526326937375, 2.3255876525808024",30.0,34.0
27.8,2,33.4,19.5,"48.823452771575106, 2.337070179863054",20.0,41.7
28.4,1,34.1,19.9,"48.89166759106752, 2.3459787545931863",10.0,85.19999999999999
28.0,2,33.6,19.6,"48.83429362836976, 2.296919974448867",20.0,42.0
30.6,4,36.7,21.4,"48.86465997810256, 2.3363089189653063",40.0,22.95
31.1,2,37.3,21.8,"48.867074492185395, 2.3086516846814",20.0,46.650000000000006
32.8,1,39.4,23.0,"48.86228910809422, 2.3448988583110166",10.0,98.39999999999999
34.7,1,41.6,24.3,"48.851585175021285, 2.3647679538731117",10.0,104.10000000000001
16.6,4,19.9,11.6,"48.82752745777257, 2.3723977369189355",40.0,12.450000000000001
30.9,2,37.1,21.6,"48.83906040108164, 2.2780763469189345",20.0,46.349999999999994
27.5,4,33.0,19.3,"48.84766363545046, 2.354093153377686",40.0,20.625
26.3,4,31.6,18.4,"48.85852137232379, 2.3516669671389687",40.0,19.724999999999998
27.4,3,32.9,19.2,"48.876008290020586, 2.36812301788768",30.0,27.4
31.1,1,37.3,21.8,"48.894012169582226, 2.3643867790293243",10.0,93.30000000000001
36.9,1,44.3,25.8,"48.867074492185395, 2.3086516846814",10.0,110.7
32.5,2,39.0,22.8,"48.85438440363996, 2.340035371130514",20.0,48.75
31.1,1,37.3,21.8,"48.88163816729657, 2.3954401666237373",10.0,93.30000000000001
27.0,3,32.4,18.9,"48.8376230959726, 2.331783822887114",30.0,27.0
24.2,3,29.0,16.9,"48.835209049865114, 2.3862100842120184",30.0,24.2
30.7,2,36.8,21.5,"48.86327454383974, 2.259935831704838",20.0,46.05
28.0,2,33.6,19.6,"48.84691594405347, 2.374401626479208",20.0,42.0
28.6,4,34.3,20.0,"48.8671501183107, 2.3500801904088187",40.0,21.450000000000003
28.0,2,33.6,19.6,"48.87153120058614, 2.3875492398498035",20.0,42.0
26.0,3,31.2,18.2,"48.859192412713874, 2.3632050573309638",30.0,26.0
28.5,3,34.2,19.9,"48.82665262554388, 2.3264369992249008",30.0,28.5
25.3,4,30.4,17.7,"48.83906040108164, 2.2780763469189345",40.0,18.975
22.7,3,27.2,15.9,"48.835209049865114, 2.3862100842120184",30.0,22.7
31.1,2,37.3,21.8,"48.88117755028415, 2.289963738115156",20.0,46.650000000000006
21.0,4,25.2,14.7,"48.89555577457166, 2.384777229270242",40.0,15.75
28.4,1,34.1,19.9,"48.823452771575106, 2.337070179863054",10.0,85.19999999999999
18.1,4,21.7,12.7,"48.88163816729657, 2.3954401666237373",40.0,13.575000000000001
35.5,1,42.6,24.9,"48.873934691758095, 2.343252579473346",10.0,106.5
24.7,4,29.6,17.3,"48.83740588522813, 2.3633186351497177",40.0,18.525
33.5,4,40.2,23.4,"48.858514966137854, 2.3164447403399206",40.0,25.125
31.9,1,38.3,22.3,"48.89257777114592, 2.334363089913081",10.0,95.7
27.5,4,33.0,19.3,"48.8490447659431, 2.3457466001872485",40.0,20.625
32.4,3,38.9,22.7,"48.85829990387876, 2.3015415556941874",30.0,32.4
20.1,3,24.1,14.1,"48.88766108880349, 2.3744682121256666",30.0,20.1
30.9,2,37.1,21.6,"48.850622342726865, 2.252276907538065",20.0,46.349999999999994
33.9,1,40.7,23.7,"48.871765634282355, 2.2719177404675657",10.0,101.69999999999999
30.6,2,36.7,21.4,"48.87993433878255, 2.3328501965554715",20.0,45.9
34.9,4,41.9,24.4,"48.85035926154756, 2.3110309362657557",40.0,26.174999999999997
23.1,2,27.7,16.2,"48.82752745777257, 2.3723977369189355",20.0,34.65
33.7,1,40.4,23.6,"48.86647028948414, 2.3570831310567835",10.0,101.10000000000001
21.8,2,26.2,15.3,"48.87103473909125, 2.406171530151038",20.0,32.7
29.0,2,34.8,20.3,"48.850171655497846, 2.291852642697574",20.0,43.5
30.8,1,37.0,21.6,"48.83906040108164, 2.2780763469189345",10.0,92.4
31.5,2,37.8,22.1,"48.851585175021285, 2.3647679538731117",20.0,47.25
28.2,3,33.8,19.7,"48.83906040108164, 2.2780763469189345",30.0,28.2
27.4,2,32.9,19.2,"48.86234502354463, 2.376118055918989",20.0,41.099999999999994
29.9,2,35.9,20.9,"48.84271125032415, 2.3107774536393966",20.0,44.849999999999994
22.3,3,26.8,15.6,"48.894012169582226, 2.3643867790293243",30.0,22.3
27.4,4,32.9,19.2,"48.850622342726865, 2.252276907538065",40.0,20.549999999999997
30.2,2,36.2,21.1,"48.87361766097465, 2.352282894951218",20.0,45.3
22.7,3,27.2,15.9,"48.86371948395739, 2.395272820760115",30.0,22.7
